instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	396
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	206
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	366
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	212
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	406
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	340
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	308
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	240
2	r4.2xlarge	16	122000	145	3000000	10000000	0.01	206
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0001	326
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0005	272
2	r4.2xlarge	16	122000	263	1000000	20000000	0.005	200
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	522
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	580
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	676
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0005	424
2	r4.2xlarge	16	122000	284	2000000	20000000	0.005	298
2	r4.2xlarge	16	122000	284	2000000	20000000	0.01	256
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	668
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	744
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	870
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	540
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	574
2	r4.2xlarge	16	122000	291	3000000	20000000	0.001	480
2	r4.2xlarge	16	122000	291	3000000	20000000	0.005	378
2	r4.2xlarge	16	122000	291	3000000	20000000	0.01	306
2	r4.2xlarge	16	122000	291	3000000	20000000	0.01	340
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0001	454
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0005	348
2	r4.2xlarge	16	122000	394	1000000	30000000	0.001	316
2	r4.2xlarge	16	122000	394	1000000	30000000	0.005	248
2	r4.2xlarge	16	122000	394	1000000	30000000	0.01	220
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0001	666
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0001	718
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0005	546
2	r4.2xlarge	16	122000	426	2000000	30000000	0.001	492
2	r4.2xlarge	16	122000	426	2000000	30000000	0.005	372
2	r4.2xlarge	16	122000	426	2000000	30000000	0.01	324
2	r4.2xlarge	16	122000	436	3000000	30000000	0.0001	842
2	r4.2xlarge	16	122000	436	3000000	30000000	0.0005	686
2	r4.2xlarge	16	122000	436	3000000	30000000	0.001	618
2	r4.2xlarge	16	122000	436	3000000	30000000	0.005	466
2	r4.2xlarge	16	122000	436	3000000	30000000	0.01	392
2	r4.xlarge	8	61000	284	2000000	20000000	0.001	680
4	m4.2xlarge	32	128000	284	2000000	20000000	0.001	312
