instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	154
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	176
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	190
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	190
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	262
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	290
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	202
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	326
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	402
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	168
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	104
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	100
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	120
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	140
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	118
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	222
4	m4.2xlarge	32	128000	20200	100	200000000	0.25	126
4	m4.2xlarge	32	128000	20200	100	200000000	1.0	248
4	r4.2xlarge	32	244000	15150	100	150000000	0.5	114
6	c4.2xlarge	48	90000	15150	100	150000000	0.5	100
6	m4.2xlarge	48	192000	10100	100	100000000	0.25	74
6	m4.2xlarge	48	192000	10100	100	100000000	0.75	122
6	m4.2xlarge	48	192000	12625	100	125000000	0.5	112
6	m4.2xlarge	48	192000	15150	100	150000000	0.5	126
6	m4.2xlarge	48	192000	17675	100	175000000	0.0	64
6	m4.2xlarge	48	192000	17675	100	175000000	0.75	178
6	m4.2xlarge	48	192000	20200	100	200000000	0.75	194
6	r4.2xlarge	48	366000	15150	100	150000000	0.5	112
8	c4.2xlarge	64	120000	15150	100	150000000	0.5	102
8	m4.2xlarge	64	256000	10100	100	100000000	0.25	66
8	m4.2xlarge	64	256000	10100	100	100000000	0.75	114
8	m4.2xlarge	64	256000	12625	100	125000000	0.25	76
8	m4.2xlarge	64	256000	12625	100	125000000	1.0	156
8	m4.2xlarge	64	256000	15150	100	150000000	0.75	146
8	m4.2xlarge	64	256000	17675	100	175000000	0.25	96
8	m4.2xlarge	64	256000	17675	100	175000000	0.75	178
8	m4.2xlarge	64	256000	20200	100	200000000	0.25	100
8	m4.2xlarge	64	256000	20200	100	200000000	0.75	196
8	m4.2xlarge	64	256000	20200	100	200000000	1.0	426
8	r4.2xlarge	64	488000	15150	100	150000000	0.5	106
10	c4.2xlarge	80	150000	15150	100	150000000	0.5	96
10	m4.2xlarge	80	320000	10100	100	100000000	0.5	86
10	m4.2xlarge	80	320000	12625	100	125000000	0.75	122
10	m4.2xlarge	80	320000	15150	100	150000000	0.75	148
10	m4.2xlarge	80	320000	17675	100	175000000	0.25	88
10	m4.2xlarge	80	320000	17675	100	175000000	0.75	168
10	m4.2xlarge	80	320000	20200	100	200000000	0.0	52
10	m4.2xlarge	80	320000	20200	100	200000000	0.75	182
10	r4.2xlarge	80	610000	15150	100	150000000	0.5	106
12	c4.2xlarge	96	180000	15150	100	150000000	0.5	94
12	m4.2xlarge	96	384000	10100	100	100000000	0.5	84
12	m4.2xlarge	96	384000	12625	100	125000000	0.5	98
12	m4.2xlarge	96	384000	15150	100	150000000	0.25	82
12	m4.2xlarge	96	384000	15150	100	150000000	0.75	158
12	m4.2xlarge	96	384000	17675	100	175000000	0.25	86
12	m4.2xlarge	96	384000	17675	100	175000000	1.0	194
12	m4.2xlarge	96	384000	20200	100	200000000	0.25	90
12	m4.2xlarge	96	384000	20200	100	200000000	0.75	172
12	r4.2xlarge	96	732000	15150	100	150000000	0.5	102
