instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	m4.2xlarge	16	64000	9530	1000	10000000	378
2	m4.2xlarge	16	64000	9630	100	100000000	382
2	m4.2xlarge	16	64000	11556	100	120000000	456
4	c4.2xlarge	32	60000	13482	100	140000000	264
4	c4.2xlarge	32	60000	17334	100	180000000	338
4	m4.2xlarge	32	128000	9530	1000	10000000	180
4	m4.2xlarge	32	128000	9630	100	100000000	182
4	m4.2xlarge	32	128000	11556	100	120000000	222
4	m4.2xlarge	32	128000	13482	100	140000000	258
4	m4.2xlarge	32	128000	17334	100	180000000	328
4	r4.2xlarge	32	244000	9630	100	100000000	118
4	r4.2xlarge	32	244000	11556	100	120000000	132
6	c4.2xlarge	48	90000	15408	100	160000000	242
6	c4.2xlarge	48	90000	19260	100	200000000	290
6	m4.2xlarge	48	192000	13482	100	140000000	222
6	m4.2xlarge	48	192000	15408	100	160000000	248
6	r4.2xlarge	48	366000	9530	1000	10000000	112
6	r4.2xlarge	48	366000	9630	100	100000000	108
6	r4.2xlarge	48	366000	11556	100	120000000	120
6	r4.2xlarge	48	366000	15408	100	160000000	148
6	r4.2xlarge	48	366000	19260	100	200000000	172
8	m4.2xlarge	64	256000	9530	1000	10000000	152
8	m4.2xlarge	64	256000	19260	100	200000000	280
8	r4.2xlarge	64	488000	9530	1000	10000000	76
8	r4.2xlarge	64	488000	9630	100	100000000	100
8	r4.2xlarge	64	488000	11556	100	120000000	110
8	r4.2xlarge	64	488000	15408	100	160000000	138
8	r4.2xlarge	64	488000	17334	100	180000000	164
8	r4.2xlarge	64	488000	19260	100	200000000	154
10	m4.2xlarge	80	320000	13482	100	140000000	194
10	m4.2xlarge	80	320000	17334	100	180000000	244
10	r4.2xlarge	80	610000	9530	1000	10000000	110
10	r4.2xlarge	80	610000	9630	100	100000000	98
10	r4.2xlarge	80	610000	11556	100	120000000	108
10	r4.2xlarge	80	610000	15408	100	160000000	130
10	r4.2xlarge	80	610000	17334	100	180000000	140
10	r4.2xlarge	80	610000	19260	100	200000000	154
12	c4.2xlarge	96	180000	19260	100	200000000	236
12	m4.2xlarge	96	384000	13482	100	140000000	184
12	r4.2xlarge	96	732000	9630	100	100000000	94
12	r4.2xlarge	96	732000	11556	100	120000000	104
12	r4.2xlarge	96	732000	13482	100	140000000	118
12	r4.2xlarge	96	732000	15408	100	160000000	130
12	r4.2xlarge	96	732000	17334	100	180000000	172
12	r4.2xlarge	96	732000	19260	100	200000000	146
