instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	274
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	310
2	r4.2xlarge	16	122000	263	1000000	20000000	0.001	258
2	r4.2xlarge	16	122000	284	2000000	20000000	0.001	426
2	r4.2xlarge	16	122000	394	1000000	30000000	0.001	316
4	r4.2xlarge	32	244000	142	2000000	10000000	0.001	246
4	r4.2xlarge	32	244000	145	3000000	10000000	0.001	278
4	r4.2xlarge	32	244000	284	2000000	20000000	0.0005	360
4	r4.2xlarge	32	244000	291	3000000	20000000	0.001	428
4	r4.2xlarge	32	244000	394	1000000	30000000	0.001	280
4	r4.2xlarge	32	244000	426	2000000	30000000	0.0005	452
4	r4.2xlarge	32	244000	436	3000000	30000000	0.001	538
6	r4.2xlarge	48	366000	131	1000000	10000000	0.001	174
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	270
6	r4.2xlarge	48	366000	263	1000000	20000000	0.001	220
6	r4.2xlarge	48	366000	284	2000000	20000000	0.0005	344
6	r4.2xlarge	48	366000	291	3000000	20000000	0.001	414
6	r4.2xlarge	48	366000	394	1000000	30000000	0.001	262
6	r4.2xlarge	48	366000	436	3000000	30000000	0.001	504
8	r4.2xlarge	64	488000	145	3000000	10000000	0.001	298
8	r4.2xlarge	64	488000	263	1000000	20000000	0.001	216
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	326
8	r4.2xlarge	64	488000	426	2000000	30000000	0.001	400
8	r4.2xlarge	64	488000	436	3000000	30000000	0.001	506
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	264
10	r4.2xlarge	80	610000	145	3000000	10000000	0.001	276
10	r4.2xlarge	80	610000	284	2000000	20000000	0.001	316
10	r4.2xlarge	80	610000	291	3000000	20000000	0.001	404
10	r4.2xlarge	80	610000	394	1000000	30000000	0.001	270
10	r4.2xlarge	80	610000	436	3000000	30000000	0.001	496
12	r4.2xlarge	96	732000	131	1000000	10000000	0.0005	188
12	r4.2xlarge	96	732000	263	1000000	20000000	0.001	222
12	r4.2xlarge	96	732000	291	3000000	20000000	0.001	402
12	r4.2xlarge	96	732000	426	2000000	30000000	0.001	404
